Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2020-01-01,AQS,60010007.0,3.0,8.6,ug/m3 LC,36,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-02,AQS,60010007.0,3.0,4.5,ug/m3 LC,19,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-03,AQS,60010007.0,3.0,14.2,ug/m3 LC,55,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-04,AQS,60010007.0,3.0,10.9,ug/m3 LC,45,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-05,AQS,60010007.0,3.0,7.8,ug/m3 LC,33,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-06,AQS,60010007.0,3.0,6.2,ug/m3 LC,26,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-07,AQS,60010007.0,3.0,6.9,ug/m3 LC,29,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-08,AQS,60010007.0,3.0,3.0,ug/m3 LC,13,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-09,AQS,60010007.0,3.0,6.0,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-10,AQS,60010007.0,3.0,5.5,ug/m3 LC,23,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-11,AQS,60010007.0,3.0,5.9,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-12,AQS,60010007.0,3.0,5.8,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-13,AQS,60010007.0,3.0,2.9,ug/m3 LC,12,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-14,AQS,60010007.0,3.0,4.7,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-15,AQS,60010007.0,3.0,5.7,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-16,AQS,60010007.0,3.0,2.1,ug/m3 LC,9,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-17,AQS,60010007.0,3.0,5.7,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-18,AQS,60010007.0,3.0,5.8,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-19,AQS,60010007.0,3.0,8.9,ug/m3 LC,37,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-20,AQS,60010007.0,3.0,16.0,ug/m3 LC,59,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-21,AQS,60010007.0,3.0,2.6,ug/m3 LC,11,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-22,AQS,60010007.0,3.0,3.7,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-23,AQS,60010007.0,3.0,7.4,ug/m3 LC,31,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-24,AQS,60010007.0,3.0,8.1,ug/m3 LC,34,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-25,AQS,60010007.0,3.0,7.2,ug/m3 LC,30,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-26,AQS,60010007.0,3.0,3.2,ug/m3 LC,13,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-27,AQS,60010007.0,3.0,3.5,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-28,AQS,60010007.0,3.0,3.7,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-29,AQS,60010007.0,3.0,6.1,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-30,AQS,60010007.0,3.0,6.8,ug/m3 LC,28,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-01-31,AQS,60010007.0,3.0,10.7,ug/m3 LC,45,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-01,AQS,60010007.0,3.0,14.6,ug/m3 LC,56,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-02,AQS,60010007.0,3.0,6.3,ug/m3 LC,26,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-03,AQS,60010007.0,3.0,2.3,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-04,AQS,60010007.0,3.0,2.0,ug/m3 LC,8,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-05,AQS,60010007.0,3.0,5.3,ug/m3 LC,22,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-06,AQS,60010007.0,3.0,8.3,ug/m3 LC,35,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-07,AQS,60010007.0,3.0,12.4,ug/m3 LC,52,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-08,AQS,60010007.0,3.0,10.0,ug/m3 LC,42,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-09,AQS,60010007.0,3.0,1.1,ug/m3 LC,5,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-10,AQS,60010007.0,3.0,1.7,ug/m3 LC,7,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-11,AQS,60010007.0,3.0,2.5,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-12,AQS,60010007.0,3.0,5.8,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-13,AQS,60010007.0,3.0,8.5,ug/m3 LC,35,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-14,AQS,60010007.0,3.0,8.0,ug/m3 LC,33,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-15,AQS,60010007.0,3.0,10.3,ug/m3 LC,43,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-19,AQS,60010007.0,3.0,7.1,ug/m3 LC,30,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-20,AQS,60010007.0,3.0,11.4,ug/m3 LC,48,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-21,AQS,60010007.0,3.0,8.4,ug/m3 LC,35,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-22,AQS,60010007.0,3.0,9.9,ug/m3 LC,41,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-23,AQS,60010007.0,3.0,5.6,ug/m3 LC,23,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-24,AQS,60010007.0,3.0,4.7,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-25,AQS,60010007.0,3.0,3.6,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-26,AQS,60010007.0,3.0,9.6,ug/m3 LC,40,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-27,AQS,60010007.0,3.0,11.9,ug/m3 LC,50,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-28,AQS,60010007.0,3.0,10.8,ug/m3 LC,45,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-02-29,AQS,60010007.0,3.0,7.1,ug/m3 LC,30,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-01,AirNow,60010007.0,3.0,3.6,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-02,AirNow,60010007.0,3.0,1.9,ug/m3 LC,8,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-03,AirNow,60010007.0,3.0,4.1,ug/m3 LC,17,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-04,AirNow,60010007.0,3.0,8.0,ug/m3 LC,33,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-05,AirNow,60010007.0,3.0,11.0,ug/m3 LC,46,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-06,AirNow,60010007.0,3.0,4.6,ug/m3 LC,19,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-07,AirNow,60010007.0,3.0,2.1,ug/m3 LC,9,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-08,AirNow,60010007.0,3.0,4.0,ug/m3 LC,17,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-09,AirNow,60010007.0,3.0,3.7,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-10,AirNow,60010007.0,3.0,4.2,ug/m3 LC,18,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-11,AirNow,60010007.0,3.0,3.8,ug/m3 LC,16,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-12,AirNow,60010007.0,3.0,5.1,ug/m3 LC,21,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-13,AirNow,60010007.0,3.0,8.8,ug/m3 LC,37,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-14,AirNow,60010007.0,3.0,3.5,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-15,AirNow,60010007.0,3.0,1.7,ug/m3 LC,7,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-16,AirNow,60010007.0,3.0,1.3,ug/m3 LC,5,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-17,AirNow,60010007.0,3.0,5.5,ug/m3 LC,23,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-18,AirNow,60010007.0,3.0,4.9,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-19,AirNow,60010007.0,3.0,5.4,ug/m3 LC,23,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-20,AirNow,60010007.0,3.0,5.9,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-21,AirNow,60010007.0,3.0,6.0,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-22,AirNow,60010007.0,3.0,5.7,ug/m3 LC,24,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-23,AirNow,60010007.0,3.0,6.0,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-24,AirNow,60010007.0,3.0,2.7,ug/m3 LC,11,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-25,AirNow,60010007.0,3.0,1.8,ug/m3 LC,8,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-26,AirNow,60010007.0,3.0,2.4,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-27,AirNow,60010007.0,3.0,7.4,ug/m3 LC,31,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-28,AirNow,60010007.0,3.0,7.8,ug/m3 LC,33,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-29,AirNow,60010007.0,3.0,4.8,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-30,AirNow,60010007.0,3.0,1.6,ug/m3 LC,7,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-03-31,AirNow,60010007.0,3.0,1.8,ug/m3 LC,8,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-01,AirNow,60010007.0,3.0,4.4,ug/m3 LC,18,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-02,AirNow,60010007.0,3.0,2.6,ug/m3 LC,11,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-03,AirNow,60010007.0,3.0,3.3,ug/m3 LC,14,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-04,AirNow,60010007.0,3.0,1.4,ug/m3 LC,6,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-05,AirNow,60010007.0,3.0,2.5,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-06,AirNow,60010007.0,3.0,3.5,ug/m3 LC,15,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-07,AirNow,60010007.0,3.0,2.5,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-08,AirNow,60010007.0,3.0,3.9,ug/m3 LC,16,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-09,AirNow,60010007.0,3.0,3.0,ug/m3 LC,13,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-10,AirNow,60010007.0,3.0,4.6,ug/m3 LC,19,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-11,AirNow,60010007.0,3.0,4.1,ug/m3 LC,17,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-12,AirNow,60010007.0,3.0,6.0,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-13,AirNow,60010007.0,3.0,10.3,ug/m3 LC,43,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-14,AirNow,60010007.0,3.0,5.2,ug/m3 LC,22,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-15,AirNow,60010007.0,3.0,6.0,ug/m3 LC,25,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-16,AirNow,60010007.0,3.0,4.9,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-17,AirNow,60010007.0,3.0,4.3,ug/m3 LC,18,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-18,AirNow,60010007.0,3.0,4.6,ug/m3 LC,19,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-19,AirNow,60010007.0,3.0,5.2,ug/m3 LC,22,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-20,AirNow,60010007.0,3.0,4.7,ug/m3 LC,20,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-21,AirNow,60010007.0,3.0,4.2,ug/m3 LC,18,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-22,AirNow,60010007.0,3.0,3.0,ug/m3 LC,13,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-23,AirNow,60010007.0,3.0,4.5,ug/m3 LC,19,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-24,AirNow,60010007.0,3.0,5.3,ug/m3 LC,22,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-25,AirNow,60010007.0,3.0,5.5,ug/m3 LC,23,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-26,AirNow,60010007.0,3.0,4.0,ug/m3 LC,17,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-27,AirNow,60010007.0,3.0,5.3,ug/m3 LC,22,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-28,AirNow,60010007.0,3.0,3.3,ug/m3 LC,14,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
2020-04-29,AirNow,60010007.0,3.0,2.5,ug/m3 LC,10,Livermore,1.0,100.0,88101,PM2.5 - Local Conditions,41860.0,"San Francisco-Oakland-Hayward, CA",6.0,California,1.0,Alameda,37.687526,-121.784217
